"","workerId","chain","generation","level","arrayTraining","encodingCorrected","nounsUser","prepsUser","seenInTraining"
"71","A1","C",7,3,"[0,[[0,1],[1]]]","kmkmtrt","ktsv","mr","false"
"72","A1","C",7,3,"[3,[0,[[1,1]]]]","vmkrtmt","ktsv","mr","false"
"73","A1","C",7,3,"[0,[[3,[2]],[2]]]","kmvrsrs","ktsv","mr","false"
"74","A1","C",7,3,"[[0,[1,2]],[3]]","kmtmsrv","ktsv","mr","false"
"75","A1","C",7,3,"[[[2,[1]],[3]],[2]]","srtrvrs","ktsv","mr","false"
"76","A1","C",7,3,"[3,[[3,[0,[3]]]]]","vrvmkrv","ktsv","mr","false"
"77","A1","C",7,3,"[[0,[2,[0]]],[1]]","kmsrkrt","ktsv","mr","false"
"78","A1","C",7,3,"[1,[[[0,1],[3]]]]","trkmtrv","ktsv","mr","false"
"79","A1","C",7,3,"[[[1,3],1],1]","trvmtmt","ktsv","mr","false"
"80","A1","C",7,3,"[[[1,1],2],1]","tmtmsmt","ktsv","mr","false"
"760","A10","E",7,0,"0","s","stmr","vk","true"
"761","A10","E",7,0,"1","t","stmr","vk","true"
"762","A10","E",7,0,"2","m","stmr","vk","true"
"763","A10","E",7,0,"3","r","stmr","vk","true"
"764","A10","E",7,1,"[1,3]","ttr","stmr","vk","true"
"765","A10","E",7,1,"[1,[1]]","ttt","stmr","vk","true"
"766","A10","E",7,1,"[2,3]","mtr","stmr","vk","true"
"767","A10","E",7,1,"[0,2]","stm","stmr","vk","true"
"768","A10","E",7,1,"[1,2]","ttm","stmr","vk","true"
"769","A10","E",7,1,"[1,[3]]","trr","stmr","vk","true"
"770","A10","E",7,1,"[2,[0]]","mrs","stmr","vk","true"
"771","A10","E",7,1,"[3,[2]]","rrm","stmr","vk","true"
"772","A10","E",7,1,"[2,0]","mts","stmr","vk","false"
"773","A10","E",7,1,"[0,1]","stt","stmr","vk","false"
"774","A10","E",7,1,"[2,[2]]","mrm","stmr","vk","false"
"775","A10","E",7,1,"[2,2]","mtm","stmr","vk","false"
"776","A10","E",7,2,"[[1,[2]],0]","trmss","stmr","vk","true"
"777","A10","E",7,2,"[[3,[2]],1]","rrmtt","stmr","vk","true"
"778","A10","E",7,2,"[0,[[1,[3]]]]","srtrr","stmr","vk","true"
"779","A10","E",7,2,"[[1,3],2]","ttrtm","stmr","vk","true"
"780","A10","E",7,2,"[1,[[0,[2]]]]","trrrm","stmr","vk","true"
"781","A10","E",7,2,"[1,[3,[0]]]","ttrrs","stmr","vk","true"
"782","A10","E",7,2,"[[0,[0]],1]","srstt","stmr","vk","true"
"783","A10","E",7,2,"[[1,1],[3]]","tttrr","stmr","vk","true"
"784","A10","E",7,2,"[1,[2,[2]]]","tttmm","stmr","vk","false"
"785","A10","E",7,2,"[3,[[0,[0]]]]","rrsrs","stmr","vk","false"
"786","A10","E",7,2,"[[3,[3]],[2]]","rrrrm","stmr","vk","false"
"787","A10","E",7,2,"[1,[3,3]]","ttrtr","stmr","vk","false"
"788","A10","E",7,3,"[0,[[[2,[1]],0]]]","ssmrtss","stmr","vk","false"
"789","A10","E",7,3,"[2,[[2,[1,[3]]]]]","mmmmtrr","stmr","vk","false"
"790","A10","E",7,3,"[0,[[0,1],[1]]]","strsstt","stmr","vk","false"
"791","A10","E",7,3,"[3,[0,[[1,1]]]]","rrssttt","stmr","vk","false"
"792","A10","E",7,3,"[0,[[3,[2]],[2]]]","ssrrmrm","stmr","vk","false"
"793","A10","E",7,3,"[[0,[1,2]],[3]]","stttmrr","stmr","vk","false"
"794","A10","E",7,3,"[[[2,[1]],[3]],[2]]","mrtrrrm","stmr","vk","false"
"795","A10","E",7,3,"[3,[[3,[0,[3]]]]]","rrrrsrr","stmr","vk","false"
"796","A10","E",7,3,"[[0,[2,[0]]],[1]]","ssmrstt","stmr","vk","false"
"797","A10","E",7,3,"[1,[[[0,1],[3]]]]","ttstrrr","stmr","vk","false"
"798","A10","E",7,3,"[[[1,3],1],1]","ttrtttt","stmr","vk","false"
"799","A10","E",7,3,"[[[1,1],2],1]","ttttmtt","stmr","vk","false"
"7955","A100","B",6,0,"0","t","tvsk","mr","true"
"7956","A100","B",6,0,"1","v","tvsk","mr","true"
"7957","A100","B",6,0,"2","s","tvsk","mr","true"
"7958","A100","B",6,0,"3","k","tvsk","mr","true"
"7959","A100","B",6,1,"[1,3]","vmk","tvsk","mr","true"
"7960","A100","B",6,1,"[1,[1]]","vrv","tvsk","mr","true"
"7961","A100","B",6,1,"[2,3]","smk","tvsk","mr","true"
"7962","A100","B",6,1,"[0,2]","tms","tvsk","mr","true"
"7963","A100","B",6,1,"[1,2]","vms","tvsk","mr","true"
"7964","A100","B",6,1,"[1,[3]]","vrk","tvsk","mr","true"
"7965","A100","B",6,1,"[2,[0]]","srt","tvsk","mr","true"
"7966","A100","B",6,1,"[3,[2]]","krs","tvsk","mr","true"
"7967","A100","B",6,1,"[2,0]","smt","tvsk","mr","false"
"7968","A100","B",6,1,"[0,1]","tmv","tvsk","mr","false"
"7969","A100","B",6,1,"[2,[2]]","srs","tvsk","mr","false"
"7970","A100","B",6,1,"[2,2]","sms","tvsk","mr","false"
"7971","A100","B",6,2,"[[1,[2]],0]","vrsmt","tvsk","mr","true"
"7972","A100","B",6,2,"[[3,[2]],1]","krsmv","tvsk","mr","true"
"7973","A100","B",6,2,"[0,[[1,[3]]]]","trvrk","tvsk","mr","true"
"7974","A100","B",6,2,"[[1,3],2]","vmkms","tvsk","mr","true"
"7975","A100","B",6,2,"[1,[[0,[2]]]]","vrtrs","tvsk","mr","true"
"7976","A100","B",6,2,"[1,[3,[0]]]","vrkrt","tvsk","mr","true"
"7977","A100","B",6,2,"[[0,[0]],1]","trtmv","tvsk","mr","true"
"7978","A100","B",6,2,"[[1,1],[3]]","vmvrk","tvsk","mr","true"
"7979","A100","B",6,2,"[1,[2,[2]]]","vmsrs","tvsk","mr","false"
"7980","A100","B",6,2,"[3,[[0,[0]]]]","krtrt","tvsk","mr","false"
"7981","A100","B",6,2,"[[3,[3]],[2]]","krkrs","tvsk","mr","false"
"7982","A100","B",6,2,"[1,[3,3]]","vmkmk","tvsk","mr","false"
"7983","A100","B",6,3,"[0,[[[2,[1]],0]]]","srvmtrt","tvsk","mr","false"
"7984","A100","B",6,3,"[2,[[2,[1,[3]]]]]","srsmvrk","tvsk","mr","false"
"7985","A100","B",6,3,"[0,[[0,1],[1]]]","tmtrvrv","tvsk","mr","false"
"7986","A100","B",6,3,"[3,[0,[[1,1]]]]","kmtrsms","tvsk","mr","false"
"7987","A100","B",6,3,"[0,[[3,[2]],[2]]]","tmkrsrs","tvsk","mr","false"
"7988","A100","B",6,3,"[[0,[1,2]],[3]]","tmvmsrk","tvsk","mr","false"
"7989","A100","B",6,3,"[[[2,[1]],[3]],[2]]","srvrkrs","tvsk","mr","false"
"7990","A100","B",6,3,"[3,[[3,[0,[3]]]]]","krkmtrk","tvsk","mr","false"
"7991","A100","B",6,3,"[[0,[2,[0]]],[1]]","tmsrtrv","tvsk","mr","false"
"7992","A100","B",6,3,"[1,[[[0,1],[3]]]]","vrtmvrk","tvsk","mr","false"
"7993","A100","B",6,3,"[[[1,3],1],1]","vmkmvmv","tvsk","mr","false"
"7994","A100","B",6,3,"[[[1,1],2],1]","vmvmsmv","tvsk","mr","false"
"840","A11","F",6,0,"0","s","svtm","kr","true"
"841","A11","F",6,0,"1","v","svtm","kr","true"
"842","A11","F",6,0,"2","t","svtm","kr","true"
"843","A11","F",6,0,"3","m","svtm","kr","true"
"844","A11","F",6,1,"[1,3]","tst","svtm","kr","true"
"845","A11","F",6,1,"[1,[1]]","kts","svtm","kr","true"
"846","A11","F",6,1,"[2,3]","kmv","svtm","kr","true"
"847","A11","F",6,1,"[0,2]","tvk","svtm","kr","true"
"848","A11","F",6,1,"[1,2]","msk","svtm","kr","true"
"849","A11","F",6,1,"[1,[3]]","tsm","svtm","kr","true"
"850","A11","F",6,1,"[2,[0]]","kms","svtm","kr","true"
"851","A11","F",6,1,"[3,[2]]","vtm","svtm","kr","true"
"852","A11","F",6,1,"[2,0]","mkt","svtm","kr","false"
"853","A11","F",6,1,"[0,1]","svk","svtm","kr","false"
"854","A11","F",6,1,"[2,[2]]","tts","svtm","kr","false"
"855","A11","F",6,1,"[2,2]","vst","svtm","kr","false"
"856","A11","F",6,2,"[[1,[2]],0]","ssvtr","svtm","kr","true"
"857","A11","F",6,2,"[[3,[2]],1]","rrtms","svtm","kr","true"
"858","A11","F",6,2,"[0,[[1,[3]]]]","ktrvt","svtm","kr","true"
"859","A11","F",6,2,"[[1,3],2]","mvmrm","svtm","kr","true"
"860","A11","F",6,2,"[1,[[0,[2]]]]","kstvr","svtm","kr","true"
"861","A11","F",6,2,"[1,[3,[0]]]","vstrr","svtm","kr","true"
"862","A11","F",6,2,"[[0,[0]],1]","rrtms","svtm","kr","true"
"863","A11","F",6,2,"[[1,1],[3]]","rvmtt","svtm","kr","true"
"864","A11","F",6,2,"[1,[2,[2]]]","kmtrr","svtm","kr","false"
"865","A11","F",6,2,"[3,[[0,[0]]]]","mtsvk","svtm","kr","false"
"866","A11","F",6,2,"[[3,[3]],[2]]","mmtsk","svtm","kr","false"
"867","A11","F",6,2,"[1,[3,3]]","vsmvr","svtm","kr","false"
"868","A11","F",6,3,"[0,[[[2,[1]],0]]]","mtvkrtk","svtm","kr","false"
"869","A11","F",6,3,"[2,[[2,[1,[3]]]]]","mvsttkv","svtm","kr","false"
"870","A11","F",6,3,"[0,[[0,1],[1]]]","rvsrmkr","svtm","kr","false"
"871","A11","F",6,3,"[3,[0,[[1,1]]]]","vrmmtvr","svtm","kr","false"
"872","A11","F",6,3,"[0,[[3,[2]],[2]]]","ktksvtm","svtm","kr","false"
"873","A11","F",6,3,"[[0,[1,2]],[3]]","mtsrvkm","svtm","kr","false"
"874","A11","F",6,3,"[[[2,[1]],[3]],[2]]","tttvrtk","svtm","kr","false"
"875","A11","F",6,3,"[3,[[3,[0,[3]]]]]","kkmtmrr","svtm","kr","false"
"876","A11","F",6,3,"[[0,[2,[0]]],[1]]","tsvrksk","svtm","kr","false"
"877","A11","F",6,3,"[1,[[[0,1],[3]]]]","ttkmrrr","svtm","kr","false"
"878","A11","F",6,3,"[[[1,3],1],1]","tmvkrvs","svtm","kr","false"
"879","A11","F",6,3,"[[[1,1],2],1]","kmtstmv","svtm","kr","false"
"920","A12","J",5,0,"0","k","ktsm","vr","true"
"921","A12","J",5,0,"1","t","ktsm","vr","true"
"922","A12","J",5,0,"2","s","ktsm","vr","true"
"923","A12","J",5,0,"3","m","ktsm","vr","true"
"924","A12","J",5,1,"[1,3]","rst","ktsm","vr","true"
"925","A12","J",5,1,"[1,[1]]","tkt","ktsm","vr","true"
"926","A12","J",5,1,"[2,3]","msv","ktsm","vr","true"
"927","A12","J",5,1,"[0,2]","kvs","ktsm","vr","true"
"928","A12","J",5,1,"[1,2]","tvm","ktsm","vr","true"
"929","A12","J",5,1,"[1,[3]]","tsm","ktsm","vr","true"
"930","A12","J",5,1,"[2,[0]]","srk","ktsm","vr","true"
"931","A12","J",5,1,"[3,[2]]","mks","ktsm","vr","true"
"932","A12","J",5,1,"[2,0]","stk","ktsm","vr","false"
"933","A12","J",5,1,"[0,1]","kvt","ktsm","vr","false"
"934","A12","J",5,1,"[2,[2]]","sks","ktsm","vr","false"
"935","A12","J",5,1,"[2,2]","sms","ktsm","vr","false"
"936","A12","J",5,2,"[[1,[2]],0]","tvksr","ktsm","vr","true"
"937","A12","J",5,2,"[[3,[2]],1]","rtkmv","ktsm","vr","true"
"938","A12","J",5,2,"[0,[[1,[3]]]]","rtkss","ktsm","vr","true"
"939","A12","J",5,2,"[[1,3],2]","vmkts","ktsm","vr","true"
"940","A12","J",5,2,"[1,[[0,[2]]]]","svmkt","ktsm","vr","true"
"941","A12","J",5,2,"[1,[3,[0]]]","svmtr","ktsm","vr","true"
"942","A12","J",5,2,"[[0,[0]],1]","sksts","ktsm","vr","true"
"943","A12","J",5,2,"[[1,1],[3]]","svkkk","ktsm","vr","true"
"944","A12","J",5,2,"[1,[2,[2]]]","svskr","ktsm","vr","false"
"945","A12","J",5,2,"[3,[[0,[0]]]]","msvtk","ktsm","vr","false"
"946","A12","J",5,2,"[[3,[3]],[2]]","rvksk","ktsm","vr","false"
"947","A12","J",5,2,"[1,[3,3]]","tvvks","ktsm","vr","false"
"948","A12","J",5,3,"[0,[[[2,[1]],0]]]","kkrtkvm","ktsm","vr","false"
"949","A12","J",5,3,"[2,[[2,[1,[3]]]]]","sstvrkt","ktsm","vr","false"
"950","A12","J",5,3,"[0,[[0,1],[1]]]","skrvtms","ktsm","vr","false"
"951","A12","J",5,3,"[3,[0,[[1,1]]]]","tvkrmsk","ktsm","vr","false"
"952","A12","J",5,3,"[0,[[3,[2]],[2]]]","ktrrrsm","ktsm","vr","false"
"953","A12","J",5,3,"[[0,[1,2]],[3]]","sktskkr","ktsm","vr","false"
"954","A12","J",5,3,"[[[2,[1]],[3]],[2]]","sktvrsm","ktsm","vr","false"
"955","A12","J",5,3,"[3,[[3,[0,[3]]]]]","kvsmsvr","ktsm","vr","false"
"956","A12","J",5,3,"[[0,[2,[0]]],[1]]","skvtmrk","ktsm","vr","false"
"957","A12","J",5,3,"[1,[[[0,1],[3]]]]","mstrkrk","ktsm","vr","false"
"958","A12","J",5,3,"[[[1,3],1],1]","tvkmkvk","ktsm","vr","false"
"959","A12","J",5,3,"[[[1,1],2],1]","kkvtrvk","ktsm","vr","false"
"1000","A13","C",1,0,"0","k","ktsv","mr","true"
"1001","A13","C",1,0,"1","t","ktsv","mr","true"
"1002","A13","C",1,0,"2","s","ktsv","mr","true"
"1003","A13","C",1,0,"3","v","ktsv","mr","true"
"1004","A13","C",1,1,"[1,3]","vkt","ktsv","mr","true"
"1005","A13","C",1,1,"[1,[1]]","mkk","ktsv","mr","true"
"1006","A13","C",1,1,"[2,3]","skk","ktsv","mr","true"
"1007","A13","C",1,1,"[0,2]","vsm","ktsv","mr","true"
"1008","A13","C",1,1,"[1,2]","svm","ktsv","mr","true"
"1009","A13","C",1,1,"[1,[3]]","ktm","ktsv","mr","true"
"1010","A13","C",1,1,"[2,[0]]","vsr","ktsv","mr","true"
"1011","A13","C",1,1,"[3,[2]]","skr","ktsv","mr","true"
"1012","A13","C",1,1,"[2,0]","stm","ktsv","mr","false"
"1013","A13","C",1,1,"[0,1]","kvm","ktsv","mr","false"
"1014","A13","C",1,1,"[2,[2]]","ssm","ktsv","mr","false"
"1015","A13","C",1,1,"[2,2]","ssr","ktsv","mr","false"
"1016","A13","C",1,2,"[[1,[2]],0]","sktmr","ktsv","mr","true"
"1017","A13","C",1,2,"[[3,[2]],1]","skmtr","ktsv","mr","true"
"1018","A13","C",1,2,"[0,[[1,[3]]]]","mktvm","ktsv","mr","true"
"1019","A13","C",1,2,"[[1,3],2]","kvsmm","ktsv","mr","true"
"1020","A13","C",1,2,"[1,[[0,[2]]]]","smktr","ktsv","mr","true"
"1021","A13","C",1,2,"[1,[3,[0]]]","vtkrm","ktsv","mr","true"
"1022","A13","C",1,2,"[[0,[0]],1]","ttrvm","ktsv","mr","true"
"1023","A13","C",1,2,"[[1,1],[3]]","kmvvr","ktsv","mr","true"
"1024","A13","C",1,2,"[1,[2,[2]]]","vmssr","ktsv","mr","false"
"1025","A13","C",1,2,"[3,[[0,[0]]]]","ttkrr","ktsv","mr","false"
"1026","A13","C",1,2,"[[3,[3]],[2]]","smkkr","ktsv","mr","false"
"1027","A13","C",1,2,"[1,[3,3]]","vkkmm","ktsv","mr","false"
"1028","A13","C",1,3,"[0,[[[2,[1]],0]]]","svrttrr","ktsv","mr","false"
"1029","A13","C",1,3,"[2,[[2,[1,[3]]]]]","ssrktvm","ktsv","mr","false"
"1030","A13","C",1,3,"[0,[[0,1],[1]]]","kvmvkrr","ktsv","mr","false"
"1031","A13","C",1,3,"[3,[0,[[1,1]]]]","kmvvrtr","ktsv","mr","false"
"1032","A13","C",1,3,"[0,[[3,[2]],[2]]]","tmssrkr","ktsv","mr","false"
"1033","A13","C",1,3,"[[0,[1,2]],[3]]","kmsrvrt","ktsv","mr","false"
"1034","A13","C",1,3,"[[[2,[1]],[3]],[2]]","sksrrrv","ktsv","mr","false"
"1035","A13","C",1,3,"[3,[[3,[0,[3]]]]]","kkmtrtr","ktsv","mr","false"
"1036","A13","C",1,3,"[[0,[2,[0]]],[1]]","vvmttrs","ktsv","mr","false"
"1037","A13","C",1,3,"[1,[[[0,1],[3]]]]","kmtvvrr","ktsv","mr","false"
"1038","A13","C",1,3,"[[[1,3],1],1]","vvvkmmm","ktsv","mr","false"
"1039","A13","C",1,3,"[[[1,1],2],1]","vvvsmmm","ktsv","mr","false"
"1080","A14","A",7,0,"0","m","msvt","kr","true"
"1081","A14","A",7,0,"1","s","msvt","kr","true"
"1082","A14","A",7,0,"2","v","msvt","kr","true"
"1083","A14","A",7,0,"3","t","msvt","kr","true"
"1084","A14","A",7,1,"[1,3]","str","msvt","kr","true"
"1085","A14","A",7,1,"[1,[1]]","srs","msvt","kr","true"
"1086","A14","A",7,1,"[2,3]","vtr","msvt","kr","true"
"1087","A14","A",7,1,"[0,2]","mkv","msvt","kr","true"
"1088","A14","A",7,1,"[1,2]","skv","msvt","kr","true"
"1089","A14","A",7,1,"[1,[3]]","srt","msvt","kr","true"
"1090","A14","A",7,1,"[2,[0]]","trm","msvt","kr","true"
"1091","A14","A",7,1,"[3,[2]]","trv","msvt","kr","true"
"1092","A14","A",7,1,"[2,0]","vkm","msvt","kr","false"
"1093","A14","A",7,1,"[0,1]","mks","msvt","kr","false"
"1094","A14","A",7,1,"[2,[2]]","vrv","msvt","kr","false"
"1095","A14","A",7,1,"[2,2]","vkv","msvt","kr","false"
"1096","A14","A",7,2,"[[1,[2]],0]","srvkm","msvt","kr","true"
"1097","A14","A",7,2,"[[3,[2]],1]","trvks","msvt","kr","true"
"1098","A14","A",7,2,"[0,[[1,[3]]]]","mrsrt","msvt","kr","true"
"1099","A14","A",7,2,"[[1,3],2]","sktkv","msvt","kr","true"
"1100","A14","A",7,2,"[1,[[0,[2]]]]","srmrv","msvt","kr","true"
"1101","A14","A",7,2,"[1,[3,[0]]]","sktrm","msvt","kr","true"
"1102","A14","A",7,2,"[[0,[0]],1]","mrmks","msvt","kr","true"
"1103","A14","A",7,2,"[[1,1],[3]]","sksrt","msvt","kr","true"
"1104","A14","A",7,2,"[1,[2,[2]]]","skvrv","msvt","kr","false"
"1105","A14","A",7,2,"[3,[[0,[0]]]]","trmrm","msvt","kr","false"
"1106","A14","A",7,2,"[[3,[3]],[2]]","trtrv","msvt","kr","false"
"1107","A14","A",7,2,"[1,[3,3]]","sktkt","msvt","kr","false"
"1108","A14","A",7,3,"[0,[[[2,[1]],0]]]","mrvrskm","msvt","kr","false"
"1109","A14","A",7,3,"[2,[[2,[1,[3]]]]]","vrvksrt","msvt","kr","false"
"1110","A14","A",7,3,"[0,[[0,1],[1]]]","mkmksrs","msvt","kr","false"
"1111","A14","A",7,3,"[3,[0,[[1,1]]]]","tkmrvkv","msvt","kr","false"
"1112","A14","A",7,3,"[0,[[3,[2]],[2]]]","mktrvrv","msvt","kr","false"
"1113","A14","A",7,3,"[[0,[1,2]],[3]]","mkskvrt","msvt","kr","false"
"1114","A14","A",7,3,"[[[2,[1]],[3]],[2]]","vrsrtrv","msvt","kr","false"
"1115","A14","A",7,3,"[3,[[3,[0,[3]]]]]","trtkmrt","msvt","kr","false"
"1116","A14","A",7,3,"[[0,[2,[0]]],[1]]","mkvrmrs","msvt","kr","false"
"1117","A14","A",7,3,"[1,[[[0,1],[3]]]]","srmksrt","msvt","kr","false"
"1118","A14","A",7,3,"[[[1,3],1],1]","sktksks","msvt","kr","false"
"1119","A14","A",7,3,"[[[1,1],2],1]","skskvks","msvt","kr","false"
"1160","A15","D",4,0,"0","r","rksv","tm","true"
"1161","A15","D",4,0,"1","k","rksv","tm","true"
"1162","A15","D",4,0,"2","s","rksv","tm","true"
"1163","A15","D",4,0,"3","v","rksv","tm","true"
"1164","A15","D",4,1,"[1,3]","ktv","rksv","tm","true"
"1165","A15","D",4,1,"[1,[1]]","kmk","rksv","tm","true"
"1166","A15","D",4,1,"[2,3]","stv","rksv","tm","true"
"1167","A15","D",4,1,"[0,2]","rts","rksv","tm","true"
"1168","A15","D",4,1,"[1,2]","kts","rksv","tm","true"
"1169","A15","D",4,1,"[1,[3]]","kmv","rksv","tm","true"
"1170","A15","D",4,1,"[2,[0]]","rmr","rksv","tm","true"
"1171","A15","D",4,1,"[3,[2]]","vms","rksv","tm","true"
"1172","A15","D",4,1,"[2,0]","str","rksv","tm","false"
"1173","A15","D",4,1,"[0,1]","rtk","rksv","tm","false"
"1174","A15","D",4,1,"[2,[2]]","sms","rksv","tm","false"
"1175","A15","D",4,1,"[2,2]","sts","rksv","tm","false"
"1176","A15","D",4,2,"[[1,[2]],0]","kmstr","rksv","tm","true"
"1177","A15","D",4,2,"[[3,[2]],1]","vmstk","rksv","tm","true"
"1178","A15","D",4,2,"[0,[[1,[3]]]]","rmkmv","rksv","tm","true"
"1179","A15","D",4,2,"[[1,3],2]","ktvts","rksv","tm","true"
"1180","A15","D",4,2,"[1,[[0,[2]]]]","kmrms","rksv","tm","true"
"1181","A15","D",4,2,"[1,[3,[0]]]","ktvmr","rksv","tm","true"
"1182","A15","D",4,2,"[[0,[0]],1]","rmrtk","rksv","tm","true"
"1183","A15","D",4,2,"[[1,1],[3]]","ktkmv","rksv","tm","true"
"1184","A15","D",4,2,"[1,[2,[2]]]","ktsms","rksv","tm","false"
"1185","A15","D",4,2,"[3,[[0,[0]]]]","vmrmr","rksv","tm","false"
"1186","A15","D",4,2,"[[3,[3]],[2]]","vmvms","rksv","tm","false"
"1187","A15","D",4,2,"[1,[3,3]]","vtvtv","rksv","tm","false"
"1188","A15","D",4,3,"[0,[[[2,[1]],0]]]","rmsmktr","rksv","tm","false"
"1189","A15","D",4,3,"[2,[[2,[1,[3]]]]]","smstkmv","rksv","tm","false"
"1190","A15","D",4,3,"[0,[[0,1],[1]]]","rtrtkmk","rksv","tm","false"
